Categories,Final_Category
ROOF MOULDING RHS,OTHERS
STEERING WHEEL,OTHERS
FLOOR CARPET,OTHERS
ENGINE OIL 5W40,ENGINE OIL
MONOGRAM (H),MONOGRAM
HAZARD TRIANGLE,OTHERS
REAR LINK ROD (LHS/RHS),LINK ROD
SPEAKER,OTHERS
REAR DOOR CLADDING RHS,REAR DOOR
FRONT DRIVE SHAFT ASSY LHS,FRONT DRIVE
STEERING WHEEL COVER,OTHERS
ROOF HANDLE,OTHERS
DICKEY DOOR WEATHERSTRIP (BODY SIDE),WEATHERSTRIP
BATTERY ROD,BATTERY
AC FLAP,OTHERS
PCV HOSE,OTHERS
BRAKE MASTER CYLINDER TANK,BRAKE MASTER CYLINDER
HVAC HOSE LIQUID,OTHERS
TIMING CHAIN COVER GASKET,TIMING CHAIN
FENDER INDICATOR RHS,FENDER INDICATOR
ENGINE UPPER COVER,OTHERS
TYRE_175/70/R13,TYRE
IGNITION CABLE SET,IGNITION CABLE
BATTERY FUSE,BATTERY
DICKEY LATCH CABLE,DICKEY LATCH
FRONT LOWER CONTROL ARM BALL JOINT RHS,CONTROL ARM
BATTERY_40AH_RIGHT,BATTERY
FRONT FENDER LINING FRONT LHS,FRONT FENDER
FENDER LINING CLIP,FENDER LINING
BATTERY_8AH_RIGHT,BATTERY
TYRE_175/60/R13,TYRE
FRONT FENDER LINING FRONT RHS,FRONT FENDER
REAR SEAT BELT BUCKLE,SEAT BELT
HOSE PIPE CLAMP,OTHERS
SILENCER B GASKET,GASKET
OIL PRESSURE SWITCH,SWITCH
WIPER BLADE 21,WIPER BLADE
FRONT BRAKE CALIPER PIN SET,BRAKE CALIPER
CLUTCH RELEASE FORK,CLUTCH OTHER
BONNET HINGE RHS,BONNET HINGE
REAR DOOR CHECK ARM (LHS/RHS),REAR DOOR
FRONT WINDOW GLASS LHS,GLASS
FRONT LINK ROD RHS,LINK ROD
GLOVE BOX LOCK,GLOVE BOX
